model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.25,0,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9873949579831932,0.9859693877551019
Logistic C=0.25,0,0.1,31,0.45,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9873949579831932,0.9859693877551019
Logistic C=0.25,38,0.1,31,0.55,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9873949579831932,0.9859693877551019
Logistic C=0.25,0,0.1,31,0.6,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9873949579831932,0.9859693877551019
Logistic C=0.25,46,0.1,31,0.4,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9831932773109243,0.9815476190476189
Logistic C=0.25,46,0.1,31,0.45,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9831932773109243,0.9815476190476189
Logistic C=0.25,46,0.1,31,0.55,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9831932773109243,0.9815476190476189
Logistic C=0.05,82,0.1,31,0.5,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9789915966386554,0.9745225013082155
Logistic C=0.05,82,0.1,31,0.45,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9789915966386554,0.9745225013082155
Logistic C=0.05,47,0.1,31,0.4,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9790249433106575
Logistic C=0.05,47,0.1,31,0.45,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9790249433106575
Logistic C=0.05,82,0.1,31,0.55,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9745225013082155
Logistic C=0.1,38,0.1,31,0.4,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9790249433106575
Logistic C=0.1,38,0.1,31,0.45,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9790249433106575
Logistic C=0.1,47,0.1,31,0.4,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9790249433106575
Logistic C=0.1,66,0.1,31,0.55,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9789915966386554,0.9812030075187967
Logistic C=0.05,47,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9789915966386554,0.9790249433106575
Logistic C=0.1,38,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9789915966386554,0.9790249433106575
Logistic C=0.1,47,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9789915966386554,0.9790249433106575
Logistic C=0.1,47,0.1,31,0.45,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9789915966386554,0.9790249433106575
Logistic C=0.05,39,0.1,31,0.6,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9789915966386554,0.9812030075187967
Logistic C=0.1,51,0.1,31,0.35,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9747899159663865,0.9708460307199802
Logistic C=0.05,51,0.1,31,0.4,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9747899159663865,0.9708460307199802
Logistic C=0.05,51,0.1,31,0.45,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9747899159663865,0.9708460307199802
